# Energy Eigenvalues:,3.413637,13.476072,29.454787,48.260963
# Position x, Psi 1,Psi 2,Psi 3,Psi 4
-1.500000000000000000e+00,-2.733003354165792069e-37,3.176597986751192020e-36,2.646149517396128990e-35,2.688831161002529840e-33
-1.484924623115577935e+00,6.385160191959788690e-06,3.335339828562705117e-05,3.107210979140582314e-04,8.921359951989423290e-03
-1.469849246231155870e+00,1.281888289321355721e-05,6.699367975875625551e-05,6.148552292297919213e-04,1.784826615000422584e-02
-1.454773869346733584e+00,1.948785510275988277e-05,1.016368255182273584e-04,9.173034014354543861e-04,2.678814281874697736e-02
-1.439698492462311519e+00,2.657876381959704441e-05,1.379988166628785872e-04,1.222966622019284631e-03,3.574841418291985901e-02
-1.424623115577889454e+00,3.427829604272361933e-05,1.767956342915496940e-04,1.536745898469536135e-03,4.473650446722543528e-02
-1.409547738693467389e+00,4.277313877113809326e-05,2.187432595030798618e-04,1.863542238274457389e-03,5.375983789636616661e-02
-1.394472361809045324e+00,5.224997900383892820e-05,2.645576733963083955e-04,2.208256648922296561e-03,6.282583869504446139e-02
-1.379396984924623037e+00,6.289550373982476911e-05,3.149548570700752234e-04,2.575790137901308105e-03,7.194193108796291536e-02
-1.364321608040200973e+00,7.489639997809380018e-05,3.706507916232181865e-04,2.971043712699729562e-03,8.111553929982368016e-02
-1.349246231155778908e+00,8.843859600287566972e-05,4.323594134678533239e-04,3.398918380805814304e-03,9.035408755532935154e-02
-1.334170854271356843e+00,1.034604908788275241e-04,5.001463484201281763e-04,3.864315149707812230e-03,9.966500007918238646e-02
-1.319095477386934778e+00,1.202633912313284315e-04,5.751232290894719773e-04,4.372135026893969774e-03,1.090557010960851725e-01
-1.304020100502512491e+00,1.394912854714106128e-04,6.593405535943187281e-04,4.927279019852545509e-03,1.185336148307403470e-01
-1.288944723618090427e+00,1.617881620101056111e-04,7.548488200530989066e-04,5.534648136071769822e-03,1.281061655078500061e-01
-1.273869346733668362e+00,1.877980092584456066e-04,8.636985265842462428e-04,6.199143383039901721e-03,1.377807773521168011e-01
-1.258793969849246297e+00,2.181648156274627252e-04,9.879401713061937082e-04,6.925665768245189806e-03,1.475648745882431334e-01
-1.243718592964824232e+00,2.535325695281888218e-04,1.129624252337374166e-03,7.719116299175878340e-03,1.574658814409314322e-01
-1.228643216080401945e+00,2.945452593716566458e-04,1.290801267796222321e-03,8.584395983320234139e-03,1.674912221348842933e-01
-1.213567839195979881e+00,3.418468735688968865e-04,1.473521715801167026e-03,9.526405828166478046e-03,1.776483208948038961e-01
-1.198492462311557816e+00,3.960827002397034817e-04,1.679840402183264709e-03,1.055004224820907562e-02,1.879445805471265940e-01
-1.183417085427135751e+00,4.582777066693543709e-04,1.912914056099941900e-03,1.166196875116548397e-02,1.983853812074175549e-01
-1.168341708542713686e+00,5.301574491808325705e-04,2.177706736531110146e-03,1.287659878925710884e-02,2.089784764852396781e-01
-1.153266331658291399e+00,6.134945768814605883e-04,2.479233838865822249e-03,1.421026051127912901e-02,2.197336751653197473e-01
-1.138190954773869334e+00,7.100617388785570834e-04,2.822510758493116268e-03,1.567928206602665214e-02,2.306607860323840742e-01
-1.123115577889447270e+00,8.216277850766172267e-04,3.212545012123456563e-03,1.729999160229485008e-02,2.417696178711593036e-01
-1.108040201005025205e+00,9.500652084421273196e-04,3.654682982922680123e-03,1.908871726887887213e-02,2.530699794663721081e-01
-1.092964824120603140e+00,1.098599026312840595e-03,4.157464514445460661e-03,2.106178721457386757e-02,2.645716796027490769e-01
-1.077889447236180853e+00,1.270880082425559056e-03,4.730387489579100310e-03,2.323552958817502734e-02,2.762845270650169383e-01
-1.062814070351758788e+00,1.470559220517077444e-03,5.382949791210881255e-03,2.562627253847744174e-02,2.882183306379019205e-01
-1.047738693467336724e+00,1.701276375404381673e-03,6.124628602056658017e-03,2.825012397503047501e-02,3.003828991061308074e-01
-1.032663316582914659e+00,1.966928027894452105e-03,6.965644832648397282e-03,3.111686010091994914e-02,3.127880412544302158e-01
-1.017587939698492594e+00,2.274223100793803555e-03,7.922324462154366545e-03,3.425861279553814309e-02,3.254435658675266518e-01
-1.002512562814070307e+00,2.630687427822394307e-03,9.012683954365233174e-03,3.771771781449054922e-02,3.383592817301469546e-01
-9.874371859296482423e-01,3.043846842700167251e-03,1.025473977307161944e-02,4.153651091338245865e-02,3.515449976270172416e-01
-9.723618090452261775e-01,3.521251779800020111e-03,1.166645699280120102e-02,4.575732784781939150e-02,3.650105223428643519e-01
-9.572864321608040017e-01,4.072664421862157332e-03,1.326741137993767659e-02,5.042250437340676378e-02,3.787656646624150691e-01
-9.422110552763819369e-01,4.710785078805982025e-03,1.508881710667468214e-02,5.557437624574992907e-02,3.928202333703956772e-01
-9.271356783919598721e-01,5.448561930170568376e-03,1.716486525343036487e-02,6.125527922045436585e-02,4.071840372515328488e-01
-9.120603015075376963e-01,6.301991356117287411e-03,1.952974690062288243e-02,6.750754905312555954e-02,4.218668850905532564e-01
-8.969849246231156314e-01,7.289294791819308020e-03,2.221753086250206899e-02,7.437391413754049219e-02,4.368784658038779023e-01
-8.819095477386934556e-01,8.429979205623270785e-03,2.526574239624873250e-02,8.191980825033616520e-02,4.522259609241507383e-01
-8.668341708542713908e-01,9.750495478681784831e-03,2.873404523143023234e-02,9.023159626961269053e-02,4.679222059506308318e-01
-8.517587939698493260e-01,1.127888252933638945e-02,3.268733444978001029e-02,9.939386795666292629e-02,4.839825446763492689e-01
-8.366834170854271502e-01,1.304427201858624798e-02,3.719050513303151506e-02,1.094912130727798000e-01,5.004223208943369139e-01
-8.216080402010050854e-01,1.508667311111902380e-02,4.230878814976531815e-02,1.206080570585564282e-01,5.172568783976242424e-01
-8.065326633165829096e-01,1.745149588453247247e-02,4.812571390903559038e-02,1.328376640117559793e-01,5.345015609792422850e-01
-7.914572864321608447e-01,2.018442188386979433e-02,5.474502425937331773e-02,1.463096369463743329e-01,5.521717124322215176e-01
-7.763819095477386689e-01,2.334357480756297371e-02,6.227226560281796941e-02,1.611607525371251681e-01,5.702826765495931927e-01
-7.613065326633166041e-01,2.700182913086685704e-02,7.083564691696360438e-02,1.775277874587218307e-01,5.888497971243875639e-01
-7.462311557788945393e-01,3.123272298047011925e-02,8.057778018697321631e-02,1.955472123694242392e-01,6.078884179496357731e-01
-7.311557788944723635e-01,3.612018457498282487e-02,9.165613231817675011e-02,2.153710531679803031e-01,6.274138828183684069e-01
-7.160804020100502987e-01,4.177855799614144799e-02,1.042626417321548538e-01,2.372098283003457042e-01,6.474415355236162739e-01
-7.010050251256281229e-01,4.832711058124321973e-02,1.185981046875761308e-01,2.612847237315233939e-01,6.679867198584104049e-01
-6.859296482412060580e-01,5.589083599535774050e-02,1.349072489096105609e-01,2.878169254265158794e-01,6.890647796157811644e-01
-6.708542713567839932e-01,6.464247876350928679e-02,1.534609379907254656e-01,3.170270635980662610e-01,7.106910585887595833e-01
-6.557788944723618174e-01,7.477525863445651233e-02,1.745597981953116162e-01,3.491630327017308244e-01,7.328809005703764701e-01
-6.407035175879397526e-01,8.648406557371139669e-02,1.985690228364206111e-01,3.845667136584510759e-01,7.556496493536625225e-01
-6.256281407035175768e-01,1.000207275667827633e-01,2.258706768413194232e-01,4.235958095667412548e-01,7.790126487316485493e-01
-6.105527638190955120e-01,1.156960542766610894e-01,2.569318537114220757e-01,4.666080235251143793e-01,8.029852424973651370e-01
-5.954773869346734472e-01,1.338228635793874965e-01,2.922653229261076846e-01,5.139554319704129348e-01,8.275832749767320085e-01
-5.804020100502512713e-01,1.547643637801415228e-01,3.324301808782325618e-01,5.659840222725297521e-01,8.528316820616126392e-01
-5.653266331658292065e-01,1.790104277209846606e-01,3.781499908540323918e-01,6.232721080355559939e-01,8.787540583252433368e-01
-5.502512562814070307e-01,2.070683778922175200e-01,4.301751330136714957e-01,6.864509798924424144e-01,9.053717646096934857e-01
-5.351758793969849659e-01,2.394751099487125168e-01,4.892965406308394383e-01,7.561519284761379911e-01,9.327061617570325813e-01
-5.201005025125629011e-01,2.769758359970016515e-01,5.565701881963912578e-01,8.330062444195927007e-01,9.607786106093302303e-01
-5.050251256281407253e-01,3.203925497166666414e-01,6.331465091924989297e-01,9.176452183557578524e-01,9.896104720086559281e-01
-4.899497487437185494e-01,3.688287309988320661e-01,7.167857890969298040e-01,1.005873311489511090e+00,1.014147202303575579e+00
-4.748743718592964846e-01,4.171057087675804076e-01,7.968533575697154259e-01,1.081822074180456505e+00,1.017735394524232007e+00
-4.597989949748744198e-01,4.647355518274401409e-01,8.720415246198440773e-01,1.143297884031104550e+00,9.990306177153431832e-01
-4.447236180904523550e-01,5.116443955867069349e-01,9.418908368695788624e-01,1.189484214532768647e+00,9.584495037213184299e-01
-4.296482412060302902e-01,5.577595459134255806e-01,1.005975958235757028e+00,1.219776957340446444e+00,8.967950861616369451e-01
-4.145728643216080034e-01,6.030092587728839160e-01,1.063898883457503608e+00,1.233737764147399885e+00,8.156444041375250364e-01
-3.994974874371859386e-01,6.473236123212697812e-01,1.115312800650642977e+00,1.231223791974771720e+00,7.166830276067850392e-01
-3.844221105527638738e-01,6.906309424146078735e-01,1.159885855608721927e+00,1.212182800857716458e+00,6.017822525250942078e-01
-3.693467336683418090e-01,7.328650092632122970e-01,1.197365541334721284e+00,1.176970350073547777e+00,4.737219054113726568e-01
-3.542713567839197442e-01,7.739636637682792975e-01,1.227528380081175152e+00,1.126081705255723708e+00,3.355410505158364365e-01
-3.391959798994974573e-01,8.138647568310055647e-01,1.250159559768041273e+00,1.060060764673859124e+00,1.902787520886994599e-01
-3.241206030150753925e-01,8.525061393525856790e-01,1.265134368303210577e+00,9.798557438729118552e-01,4.097407438018215581e-02
-3.090452261306533277e-01,8.898256622342165523e-01,1.272381423598980765e+00,8.866119303595748624e-01,-1.093339183595015557e-01
-2.939698492462312629e-01,9.257602390058329300e-01,1.271827930141175456e+00,7.814882381218709595e-01,-2.574848663247081282e-01
-2.788944723618091981e-01,9.602451906167892570e-01,1.263447753163672527e+00,6.658905530204657364e-01,-3.995083756345526038e-01
-2.638190954773869112e-01,9.932339291535081660e-01,1.247349666125147749e+00,5.414069835019545973e-01,-5.326410843909873405e-01
-2.487437185929648464e-01,1.024683103677359153e+00,1.223658931975886599e+00,4.096658654658481002e-01,-6.544275638245139470e-01
-2.336683417085427816e-01,1.054549363249712712e+00,1.192500813666176329e+00,2.724551289865067560e-01,-7.624123851656398054e-01
-2.185929648241207168e-01,1.082789356931939562e+00,1.154004676635540072e+00,1.315999452669022740e-01,-8.541401196448704658e-01
-2.035175879396986520e-01,1.109359733785409530e+00,1.108402654197513826e+00,-1.101691454149863851e-02,-9.271553384927113672e-01
-1.884422110552763652e-01,1.134217142871493555e+00,1.056031488519033390e+00,-1.534868033102122775e-01,-9.790271874595609658e-01
-1.733668341708543004e-01,1.157318233251560802e+00,9.972323074200790671e-01,-2.938993714442570404e-01,-1.008794882741087306e+00
-1.582914572864322356e-01,1.178619653986982430e+00,9.323462387206279400e-01,-4.303880673645801291e-01,-1.016744353993811467e+00
-1.432160804020101708e-01,1.198079888656830017e+00,8.617196429347259157e-01,-5.610982967504437591e-01,-1.003184336827805945e+00
-1.281407035175881060e-01,1.215676346536540331e+00,7.857900284610482844e-01,-6.841856901452141315e-01,-9.684235668531430141e-01
-1.130653266331658191e-01,1.231387972885996884e+00,7.050628323249601426e-01,-7.981660420069021100e-01,-9.127707796798942841e-01
-9.798994974874375430e-02,1.245192010794979875e+00,6.200439835380535669e-01,-9.016058195078650028e-01,-8.365437080371815881e-01
-8.291457286432168949e-02,1.257065703353269281e+00,5.312394111119177476e-01,-9.930714898204654473e-01,-7.412071810947762351e-01
-6.783919597989962469e-02,1.266986535462864216e+00,4.391617216559505765e-01,-1.071129873382475228e+00,-6.296283459969695961e-01
-5.276381909547733784e-02,1.274938822105146530e+00,3.443893500067899405e-01,-1.134675470879057846e+00,-5.046059319131218635e-01
-3.768844221105527303e-02,1.280914482571263724e+00,2.475104460683361929e-01,-1.183132108995750276e+00,-3.689386680125985030e-01
-2.261306532663320823e-02,1.284905833179377010e+00,1.491145325259561061e-01,-1.215964443400745498e+00,-2.254252834647598736e-01
-7.537688442211143425e-03,1.286905190247648045e+00,4.980652036650254355e-02,-1.232637129762234496e+00,-7.686450743896768023e-02
7.537688442210921380e-03,1.286905190247648045e+00,-4.980652036650145414e-02,-1.232637129762234718e+00,7.379415636193357997e-02
2.261306532663320823e-02,1.284905833179377233e+00,-1.491145325259564947e-01,-1.215964443400745498e+00,2.227643511297957013e-01
3.768844221105527303e-02,1.280914482571263946e+00,-2.475104460683365537e-01,-1.183132108995750276e+00,3.668845120427110529e-01
5.276381909547733784e-02,1.274938822105146752e+00,-3.443893500067902180e-01,-1.134675470879057846e+00,5.031346287636068171e-01
6.783919597989940264e-02,1.266986535462864660e+00,-4.391617216559494663e-01,-1.071129873382476339e+00,6.284946909554075534e-01
8.291457286432146745e-02,1.257065703353269281e+00,-5.312394111119167484e-01,-9.930714898204667795e-01,7.399096147398773748e-01
9.798994974874375430e-02,1.245192010794979875e+00,-6.200439835380537890e-01,-9.016058195078651138e-01,8.347741298715369851e-01
1.130653266331658191e-01,1.231387972885996884e+00,-7.050628323249602536e-01,-7.981660420069021100e-01,9.115428263093527939e-01
1.281407035175878839e-01,1.215676346536540331e+00,-7.857900284610475072e-01,-6.841856901452159079e-01,9.687577446291790739e-01
1.432160804020099487e-01,1.198079888656830017e+00,-8.617196429347250275e-01,-5.610982967504456465e-01,1.004960925406868322e+00
1.582914572864320135e-01,1.178619653986982652e+00,-9.323462387206271629e-01,-4.303880673645820165e-01,1.018748019712840014e+00
1.733668341708543004e-01,1.157318233251560802e+00,-9.972323074200790671e-01,-2.938993714442570404e-01,1.009854138805520885e+00
1.884422110552763652e-01,1.134217142871493555e+00,-1.056031488519033612e+00,-1.534868033102123885e-01,9.790968673161223323e-01
2.035175879396984300e-01,1.109359733785409974e+00,-1.108402654197513160e+00,-1.101691454150087977e-02,9.273361304656028148e-01
2.185929648241204948e-01,1.082789356931939784e+00,-1.154004676635539628e+00,1.315999452669000813e-01,8.554318534749215663e-01
2.336683417085425596e-01,1.054549363249712934e+00,-1.192500813666175885e+00,2.724551289865045911e-01,7.643732741670108410e-01
2.487437185929648464e-01,1.024683103677359153e+00,-1.223658931975886821e+00,4.096658654658480447e-01,6.563765805204796466e-01
2.638190954773869112e-01,9.932339291535081660e-01,-1.247349666125147749e+00,5.414069835019545973e-01,5.341880686633403430e-01
2.788944723618089760e-01,9.602451906167895901e-01,-1.263447753163672971e+00,6.658905530204637380e-01,4.005397469678795841e-01
2.939698492462310409e-01,9.257602390058333741e-01,-1.271827930141175456e+00,7.814882381218692942e-01,2.581636238063850231e-01
3.090452261306531057e-01,8.898256622342169964e-01,-1.272381423598980987e+00,8.866119303595733081e-01,1.099337224654287071e-01
3.241206030150753925e-01,8.525061393525856790e-01,-1.265134368303210799e+00,9.798557438729118552e-01,-4.063965269248568518e-02
3.391959798994974573e-01,8.138647568310054536e-01,-1.250159559768041273e+00,1.060060764673859124e+00,-1.903177707564558674e-01
3.542713567839195221e-01,7.739636637682798526e-01,-1.227528380081175818e+00,1.126081705255723042e+00,-3.359128649991330318e-01
3.693467336683415869e-01,7.328650092632129631e-01,-1.197365541334721728e+00,1.176970350073547111e+00,-4.742371686931662889e-01
3.844221105527636517e-01,6.906309424146083176e-01,-1.159885855608722371e+00,1.212182800857716236e+00,-6.020323838574159758e-01
3.994974874371859386e-01,6.473236123212697812e-01,-1.115312800650642977e+00,1.231223791974771720e+00,-7.163722806046614044e-01
4.145728643216080034e-01,6.030092587728839160e-01,-1.063898883457503608e+00,1.233737764147399663e+00,-8.152124902040581711e-01
4.296482412060300682e-01,5.577595459134261358e-01,-1.005975958235757917e+00,1.219776957340446888e+00,-8.965620861180790824e-01
4.447236180904521330e-01,5.116443955867076010e-01,-9.418908368695799727e-01,1.189484214532769313e+00,-9.584301418091959457e-01
4.597989949748741978e-01,4.647355518274408070e-01,-8.720415246198450765e-01,1.143297884031105216e+00,-9.990120236678430299e-01
4.748743718592964846e-01,4.171057087675803521e-01,-7.968533575697154259e-01,1.081822074180456505e+00,-1.017697136746643638e+00
4.899497487437185494e-01,3.688287309988320661e-01,-7.167857890969295820e-01,1.005873311489511090e+00,-1.014147123141960538e+00
5.050251256281406143e-01,3.203925497166669745e-01,-6.331465091924994848e-01,9.176452183557584075e-01,-9.896105768891728660e-01
5.201005025125629011e-01,2.769758359970016515e-01,-5.565701881963912578e-01,8.330062444195925897e-01,-9.607797720056178159e-01
5.351758793969847439e-01,2.394751099487129886e-01,-4.892965406308403820e-01,7.561519284761387683e-01,-9.327082786623276389e-01
5.502512562814070307e-01,2.070683778922175200e-01,-4.301751330136715512e-01,6.864509798924424144e-01,-9.053737887609114576e-01
5.653266331658288735e-01,1.790104277209852157e-01,-3.781499908540335020e-01,6.232721080355572152e-01,-8.787553526079325827e-01
5.804020100502511603e-01,1.547643637801416894e-01,-3.324301808782328949e-01,5.659840222725301961e-01,-8.528320867808034667e-01
5.954773869346734472e-01,1.338228635793875521e-01,-2.922653229261076846e-01,5.139554319704129348e-01,-8.275831078569390042e-01
6.105527638190952899e-01,1.156960542766613670e-01,-2.569318537114225753e-01,4.666080235251151009e-01,-8.029850414507210266e-01
6.256281407035175768e-01,1.000207275667827772e-01,-2.258706768413194788e-01,4.235958095667412548e-01,-7.790124536871187999e-01
6.407035175879394195e-01,8.648406557371167425e-02,-1.985690228364212495e-01,3.845667136584518531e-01,-7.556494601586213333e-01
6.557788944723617064e-01,7.477525863445659560e-02,-1.745597981953118660e-01,3.491630327017310464e-01,-7.328807170760383016e-01
6.708542713567839932e-01,6.464247876350928679e-02,-1.534609379907254656e-01,3.170270635980662610e-01,-7.106908806501811560e-01
6.859296482412058360e-01,5.589083599535785846e-02,-1.349072489096108385e-01,2.878169254265162680e-01,-6.890646070918615695e-01
7.010050251256281229e-01,4.832711058124321279e-02,-1.185981046875761585e-01,2.612847237315233939e-01,-6.679865526118891061e-01
7.160804020100499656e-01,4.177855799614157983e-02,-1.042626417321551591e-01,2.372098283003461761e-01,-6.474413734210757720e-01
7.311557788944722525e-01,3.612018457498286650e-02,-9.165613231817686113e-02,2.153710531679804696e-01,-6.274137257302316861e-01
7.462311557788945393e-01,3.123272298047012271e-02,-8.057778018697327183e-02,1.955472123694242392e-01,-6.078882657501677445e-01
7.613065326633163821e-01,2.700182913086691602e-02,-7.083564691696374316e-02,1.775277874587220528e-01,-5.888496496916960643e-01
7.763819095477386689e-01,2.334357480756297371e-02,-6.227226560281797635e-02,1.611607525371251681e-01,-5.702825337656259874e-01
7.914572864321605117e-01,2.018442188386986372e-02,-5.474502425937347733e-02,1.463096369463746382e-01,-5.521715741827697421e-01
8.065326633165827985e-01,1.745149588453248982e-02,-4.812571390903565283e-02,1.328376640117560625e-01,-5.345014271539370032e-01
8.216080402010050854e-01,1.508667311111902033e-02,-4.230878814976533203e-02,1.206080570585564282e-01,-5.172567488899393329e-01
8.366834170854269281e-01,1.304427201858627400e-02,-3.719050513303159139e-02,1.094912130727799943e-01,-5.004221956015881823e-01
8.517587939698492150e-01,1.127888252933640159e-02,-3.268733444978003805e-02,9.939386795666300956e-02,-4.839824234996933927e-01
8.668341708542710577e-01,9.750495478681816056e-03,-2.873404523143031561e-02,9.023159626961287094e-02,-4.679220887950668040e-01
8.819095477386933446e-01,8.429979205623281194e-03,-2.526574239624876372e-02,8.191980825033623459e-02,-4.522258476985183684e-01
8.969849246231156314e-01,7.289294791819308020e-03,-2.221753086250207940e-02,7.437391413754049219e-02,-4.368783564208595371e-01
9.120603015075374742e-01,6.301991356117302157e-03,-1.952974690062292754e-02,6.750754905312564280e-02,-4.218667794660448944e-01
9.271356783919597611e-01,5.448561930170574448e-03,-1.716486525343038569e-02,6.125527922045440748e-02,-4.071839353032280506e-01
9.422110552763816038e-01,4.710785078805997637e-03,-1.508881710667472550e-02,5.557437624575005397e-02,-3.928201350184144514e-01
9.572864321608038907e-01,4.072664421862161668e-03,-1.326741137993769047e-02,5.042250437340679153e-02,-3.787655698293325157e-01
9.723618090452261775e-01,3.521251779800020978e-03,-1.166645699280120449e-02,4.575732784781939150e-02,-3.650104309537119951e-01
9.874371859296480203e-01,3.043846842700175057e-03,-1.025473977307164025e-02,4.153651091338252804e-02,-3.515449096092826409e-01
1.002512562814070307e+00,2.630687427822394307e-03,-9.012683954365234909e-03,3.771771781449054228e-02,-3.383591970137727611e-01
1.017587939698492150e+00,2.274223100793813530e-03,-7.922324462154397770e-03,3.425861279553824024e-02,-3.254434843849126069e-01
1.032663316582914437e+00,1.966928027894456442e-03,-6.965644832648412027e-03,3.111686010091999771e-02,-3.127879629404305972e-01
1.047738693467336724e+00,1.701276375404381673e-03,-6.124628602056658884e-03,2.825012397503047501e-02,-3.003828238980563725e-01
1.062814070351758566e+00,1.470559220517081130e-03,-5.382949791210892530e-03,2.562627253847748338e-02,-2.882182584755196286e-01
1.077889447236180853e+00,1.270880082425559490e-03,-4.730387489579101178e-03,2.323552958817503428e-02,-2.762844578905487847e-01
1.092964824120602696e+00,1.098599026312845148e-03,-4.157464514445477141e-03,2.106178721457393349e-02,-2.645716133608740361e-01
1.108040201005024983e+00,9.500652084421291627e-04,-3.654682982922687496e-03,1.908871726887890335e-02,-2.530699161042238021e-01
1.123115577889447270e+00,8.216277850766171183e-04,-3.212545012123456563e-03,1.729999160229485355e-02,-2.417695573383278063e-01
1.138190954773869112e+00,7.100617388785584929e-04,-2.822510758493122340e-03,1.567928206602667643e-02,-2.306607282809156056e-01
1.153266331658291399e+00,6.134945768814605883e-04,-2.479233838865822683e-03,1.421026051127913248e-02,-2.197336201497157859e-01
1.168341708542713242e+00,5.301574491808348473e-04,-2.177706736531118820e-03,1.287659878925714874e-02,-2.089784241624583760e-01
1.183417085427135529e+00,4.582777066693552925e-04,-1.912914056099946020e-03,1.166196875116549958e-02,-1.983853315368719616e-01
1.198492462311557816e+00,3.960827002397036443e-04,-1.679840402183265143e-03,1.055004224820907562e-02,-1.879445334906860998e-01
1.213567839195979658e+00,3.418468735688976455e-04,-1.473521715801169845e-03,9.526405828166491924e-03,-1.776482764162795047e-01
1.228643216080401945e+00,2.945452593716565374e-04,-1.290801267796222321e-03,8.584395983320235873e-03,-1.674911801994334315e-01
1.243718592964823788e+00,2.535325695281898518e-04,-1.129624252337378502e-03,7.719116299175903494e-03,-1.574658420155657101e-01
1.258793969849246075e+00,2.181648156274631318e-04,-9.879401713061958766e-04,6.925665768245200214e-03,-1.475648376418322028e-01
1.273869346733668362e+00,1.877980092584455795e-04,-8.636985265842462428e-04,6.199143383039902588e-03,-1.377807428553894931e-01
1.288944723618090205e+00,1.617881620101059635e-04,-7.548488200531003160e-04,5.534648136071780231e-03,-1.281061334333943313e-01
1.304020100502512491e+00,1.394912854714106128e-04,-6.593405535943188366e-04,4.927279019852544642e-03,-1.185335851530025242e-01
1.319095477386934334e+00,1.202633912313289330e-04,-5.751232290894742541e-04,4.372135026893984519e-03,-1.090556737913710023e-01
1.334170854271356621e+00,1.034604908788277816e-04,-5.001463484201291521e-04,3.864315149707818302e-03,-9.966497512565565542e-02
1.349246231155778908e+00,8.843859600287562906e-05,-4.323594134678533239e-04,3.398918380805813870e-03,-9.035406493301312292e-02
1.364321608040200751e+00,7.489639997809398992e-05,-3.706507916232189997e-04,2.971043712699735200e-03,-8.111551899060005788e-02
1.379396984924623037e+00,6.289550373982478266e-05,-3.149548570700752234e-04,2.575790137901307238e-03,-7.194191307557232240e-02
1.394472361809045324e+00,5.224997900383893497e-05,-2.645576733963083413e-04,2.208256648922296561e-03,-6.282582296508656960e-02
1.409547738693467167e+00,4.277313877113822201e-05,-2.187432595030805124e-04,1.863542238274463244e-03,-5.375982443629949425e-02
1.424623115577889454e+00,3.427829604272362611e-05,-1.767956342915496669e-04,1.536745898469536785e-03,-4.473649326636693763e-02
1.439698492462311297e+00,2.657876381959715622e-05,-1.379988166628791835e-04,1.222966622019290919e-03,-3.574840523244578183e-02
1.454773869346733584e+00,1.948785510275987599e-05,-1.016368255182273448e-04,9.173034014354567714e-04,-2.678813611169194447e-02
1.469849246231155870e+00,1.281888289321355552e-05,-6.699367975875625551e-05,6.148552292297919213e-04,-1.784826168126206133e-02
1.484924623115577713e+00,6.385160191959874240e-06,-3.335339828562760005e-05,3.107210979140622429e-04,-8.921357718312808091e-03
1.500000000000000000e+00,-5.774273201237155940e-21,1.503489081861783354e-20,-1.135051287349605775e-18,-1.804476218246757775e-17
